imo,anc_before_jit,anc_after_jit,emission_range,anc_savings_after_jit,savings_range
1013315,2.3574478803624,2.3574478803624,1-10,0.0,Zero
1013327,4.0869931776606006,4.0869931776606006,1-10,0.0,Zero
1014838,21.31829497224541,21.31829497224541,10-50,0.0,Zero
1015820,36.8685244229676,36.8685244229676,10-50,0.0,Zero
1017775,5.157430958407,5.157430958407,1-10,0.0,Zero
1018547,88.11437646760889,88.11437646760889,50-100,0.0,Zero
1019101,9.2805742416421,9.2805742416421,1-10,0.0,Zero
1026726,8.4774959079906,8.4774959079906,1-10,0.0,Zero
1029716,18.2533756100421,18.2533756100421,10-50,0.0,Zero
1030985,44.2453227133676,44.2453227133676,10-50,0.0,Zero
1031393,1.4235833470705,1.4235833470705,1-10,0.0,Zero
1039357,23.425856946359232,23.425856946359232,10-50,0.0,Zero
1043011,56.4440238959625,56.4440238959625,50-100,0.0,Zero
1047433,24.13058819853416,24.13058819853416,10-50,0.0,Zero
1052256,16.110777827697998,16.110777827697998,10-50,0.0,Zero
7930175,-0.7863882321408,-0.7863882321408,,0.0,Zero
8353245,2.388800120907,2.388800120907,1-10,0.0,Zero
8356156,1.5414464787599995,1.5414464787599995,1-10,0.0,Zero
8410392,1.6876498985717998,1.6876498985717998,1-10,0.0,Zero
8575934,1.49130925019445,1.49130925019445,1-10,0.0,Zero
8585185,2.3401736374861,2.3401736374861,1-10,0.0,Zero
8599069,1.5363643852935,1.5363643852935,1-10,0.0,Zero
8670746,3.114774867612,3.114774867612,1-10,0.0,Zero
8682361,2.0812818027375,2.0812818027375,1-10,0.0,Zero
8701040,76.5574341633269,76.5574341633269,50-100,0.0,Zero
8705656,13.3723074212728,13.3723074212728,10-50,0.0,Zero
8705670,14.8192725313649,14.8192725313649,10-50,0.0,Zero
8717257,2.0526855818507004,2.0526855818507004,1-10,0.0,Zero
8720450,1.6282198731999995,1.6282198731999995,1-10,0.0,Zero
8801814,29.41490899956,29.41490899956,10-50,0.0,Zero
8806462,2.0574751807292,2.0574751807292,1-10,0.0,Zero
8817801,4.04921034822015,4.04921034822015,1-10,0.0,Zero
8818207,7.09965966827,7.09965966827,1-10,0.0,Zero
8819275,10.729979511149375,10.729979511149375,10-50,0.0,Zero
8865171,2.2611781616319995,2.2611781616319995,1-10,0.0,Zero
8903014,1.6105629499044,1.6105629499044,1-10,0.0,Zero
8907412,4.5286035201727,4.5286035201727,1-10,0.0,Zero
8907888,2.499902494538,2.499902494538,1-10,0.0,Zero
8911085,27.8607724947328,27.8607724947328,10-50,0.0,Zero
8952857,11.533601395124048,11.533601395124048,10-50,0.0,Zero
8965294,5.3893594550992,5.3893594550992,1-10,0.0,Zero
9013701,99.08614090508874,99.08614090508874,50-100,0.0,Zero
9021332,15.568371041789147,15.568371041789147,10-50,0.0,Zero
9032331,2.9488788257579,2.9488788257579,1-10,0.0,Zero
9037965,-0.1216460616943,-0.1216460616943,,0.0,Zero
9046435,7.003844481890299,7.003844481890299,1-10,0.0,Zero
9047257,15.290842691815898,15.290842691815898,10-50,0.0,Zero
9051791,5.51421050504625,5.51421050504625,1-10,0.0,Zero
9056519,10.926570897333,10.926570897333,10-50,0.0,Zero
9058646,1.9524013749,1.9524013749,1-10,0.0,Zero
9058751,28.0972997269872,28.0972997269872,10-50,0.0,Zero
9061679,37.8907141616604,9.864195581538,1-10,28.0265185801224,10-50
9061928,2.88180292827,2.88180292827,1-10,0.0,Zero
9062738,2.3697545901525,2.3697545901525,1-10,0.0,Zero
9066447,5.2360089936154,5.2360089936154,1-10,0.0,Zero
9070450,138.481759804518,138.481759804518,100+,0.0,Zero
9072460,2.4983355289662,2.4983355289662,1-10,0.0,Zero
9073402,15.1833412868826,15.1833412868826,10-50,0.0,Zero
9075412,4.531007698514499,4.531007698514499,1-10,0.0,Zero
9081019,4.1705511451823005,4.1705511451823005,1-10,0.0,Zero
9084372,2.5822007217816,2.5822007217816,1-10,0.0,Zero
9085613,7.01408380602,7.01408380602,1-10,0.0,Zero
9085625,14.2168336157358,14.2168336157358,10-50,0.0,Zero
9085649,16.095233224014,16.095233224014,10-50,0.0,Zero
9085651,6.4965987777362,6.4965987777362,1-10,0.0,Zero
9086734,15.323458699738,15.323458699738,10-50,0.0,Zero
9088768,44.09775627937335,44.09775627937335,10-50,0.0,Zero
9101106,5.857730614958399,5.857730614958399,1-10,0.0,Zero
9102095,35.485109590815,35.485109590815,10-50,0.0,Zero
9102241,8.678618132310657,8.678618132310657,1-10,0.0,Zero
9108271,2.3055366085348497,2.3055366085348497,1-10,0.0,Zero
9109988,4.6221091650465,4.6221091650465,1-10,0.0,Zero
9112117,96.79431609841636,96.79431609841636,50-100,0.0,Zero
9115573,2.4807733484828,2.4807733484828,1-10,0.0,Zero
9116589,10.1769190316583,10.1769190316583,10-50,0.0,Zero
9117739,4.4781033143015465,4.4781033143015465,1-10,0.0,Zero
9118678,3.9946981000617,3.9946981000617,1-10,0.0,Zero
9125542,31.114506030336,31.114506030336,10-50,0.0,Zero
9125889,2.547762451381,2.547762451381,1-10,0.0,Zero
9128790,23.436864921891647,23.436864921891647,10-50,0.0,Zero
9134232,101.32560478779148,101.32560478779148,100+,0.0,Zero
9134490,9.0774218076178,9.0774218076178,1-10,0.0,Zero
9134971,93.0973085460567,93.0973085460567,50-100,0.0,Zero
9135535,18.783087865891,18.783087865891,10-50,0.0,Zero
9135547,67.76191201610474,67.76191201610474,50-100,0.0,Zero
9138159,3.79072986048,3.79072986048,1-10,0.0,Zero
9138161,5.8915731925767,5.8915731925767,1-10,0.0,Zero
9140293,1.98750072546,1.98750072546,1-10,0.0,Zero
9141998,43.2468050067821,43.2468050067821,10-50,0.0,Zero
9142095,3.1328325402860497,3.1328325402860497,1-10,0.0,Zero
9143465,6.759531435815649,6.759531435815649,1-10,0.0,Zero
9144134,7.580504874496999,7.580504874496999,1-10,0.0,Zero
9145281,9.095340333409949,9.095340333409949,1-10,0.0,Zero
9147227,6.87823278705,6.87823278705,1-10,0.0,Zero
9147708,3.55546454101785,3.55546454101785,1-10,0.0,Zero
9154141,2.9159882332425,2.9159882332425,1-10,0.0,Zero
9155145,3.422552297835,3.422552297835,1-10,0.0,Zero
9155391,40.4272962193677,40.4272962193677,10-50,0.0,Zero
9156565,66.86296420441505,66.86296420441505,50-100,0.0,Zero
9159098,3.67226955234,3.67226955234,1-10,0.0,Zero
9160401,7.0835327248175,7.0835327248175,1-10,0.0,Zero
9160487,71.55448872556485,71.55448872556485,50-100,0.0,Zero
9161297,7.5688354001988,7.5688354001988,1-10,0.0,Zero
9162112,25.5312434347476,25.5312434347476,10-50,0.0,Zero
9163465,32.364982893558924,32.364982893558924,10-50,0.0,Zero
9164249,4.685651176834599,4.685651176834599,1-10,0.0,Zero
9166675,12.251074439026564,12.251074439026564,10-50,0.0,Zero
9167459,7.399230982666949,7.399230982666949,1-10,0.0,Zero
