imo,anc_before_jit
1013315,2.357448
1013327,4.086993
1014838,21.318295
1015820,36.868524
1017775,5.157431
1018547,88.114376
1019101,9.280574
1026726,8.477496
1029716,18.253376
1030985,44.245323
1031393,1.423583
1039357,23.425857
1043011,56.444024
1047433,24.130588
1052256,16.110778
7930175,-0.786388
8353245,2.3888
8356156,1.541446
8410392,1.68765
8575934,1.491309
8585185,2.340174
8599069,1.536364
8670746,3.114775
8682361,2.081282
8701040,76.557434
8705656,13.372307
8705670,14.819273
8717257,2.052686
8720450,1.62822
8801814,29.414909
8806462,2.057475
8817801,4.04921
8818207,7.09966
8819275,10.72998
8865171,2.261178
8903014,1.610563
8907412,4.528604
8907888,2.499902
8911085,27.860772
8952857,11.533601
8965294,5.389359
9013701,99.086141
9021332,15.568371
9032331,2.948879
9037965,-0.121646
9046435,7.003844
9047257,15.290843
9051791,5.514211
9056519,10.926571
9058646,1.952401
9058751,28.0973
9061679,37.890714
9061928,2.881803
9062738,2.369755
9066447,5.236009
9070450,138.48176
9072460,2.498336
9073402,15.183341
9075412,4.531008
9081019,4.170551
9084372,2.582201
9085613,7.014084
9085625,14.216834
9085649,16.095233
9085651,6.496599
9086734,15.323459
9088768,44.097756
9101106,5.857731
9102095,35.48511
9102241,8.678618
9108271,2.305537
9109988,4.622109
9112117,96.794316
9115573,2.480773
9116589,10.176919
9117739,4.478103
9118678,3.994698
9125542,31.114506
9125889,2.547762
9128790,23.436865
9134232,101.325605
9134490,9.077422
9134971,93.097309
9135535,18.783088
9135547,67.761912
9138159,3.79073
9138161,5.891573
9140293,1.987501
9141998,43.246805
9142095,3.132833
9143465,6.759531
9144134,7.580505
9145281,9.09534
9147227,6.878233
9147708,3.555465
9154141,2.915988
9155145,3.422552
9155391,40.427296
9156565,66.862964
9159098,3.67227
9160401,7.083533
9160487,71.554489
9161297,7.568835
9162112,25.531243
9163465,32.364983
9164249,4.685651
9166675,12.251074
9167459,7.399231
9168269,33.826293
9168843,59.385389
9169316,59.076394
9172301,12.167158
9174608,10.658592
9175092,2.127774
9175535,54.508618
9175597,9.716184
9175602,22.611829
9176606,7.749964
9176656,4.515788
9176759,2.315474
9177428,6.375683
9177583,49.450479
9178393,14.702014
9179828,28.123781
9181742,9.10479
9182033,6.920442
9185463,67.791006
9185499,98.404468
9185920,6.281203
9186302,11.725762
9186326,45.986472
9186584,3.856788
9186742,3.079062
9186950,5.833016
9189354,13.462346
9189500,8.376155
9190004,23.551993
9193214,2.699703
9194866,50.865683
9197040,7.893743
9197143,47.418766
9197155,83.836774
9197296,52.07265
9197349,9.460893
9197478,2.223629
9198288,10.175222
9198587,43.891679
9199127,2.751376
9200689,8.609006
9200823,113.174393
9202168,6.028727
9202663,26.426768
9202792,8.859128
9203796,95.651515
9204984,5.122739
9205067,6.423821
9205512,31.114092
9205677,6.846762
9208069,3.377468
9208215,133.847278
9209283,55.189533
9209958,1.987501
9210062,6.488919
9210268,23.458634
9211559,7.432422
9212589,2.720858
9213105,48.899499
9214757,2.20432
9214898,10.973279
9214903,10.472028
9215098,7.593477
9215892,9.906927
9216731,7.780193
9216987,35.354686
9219264,2.180547
9220196,4.11311
9220316,7.278153
9220940,2.636107
9221114,2.198218
9222273,12.015236
9222285,9.745913
9222338,20.719959
9222467,31.154063
9223540,4.25348
9224324,7.955524
9224958,8.934868
9225342,27.253078
9225653,9.413627
9227223,8.121866
9228710,4.051368
9229439,112.103321
9230012,4.164658
9230969,9.09345
9230971,6.51103
9231509,6.562109
9231511,66.730313
9232022,4.567416
9232058,32.083681
9232175,16.443208
9232400,11.471263
9232761,5.832925
9233234,5.749743
9233260,19.999493
9233844,57.300232
9234094,2.921016
9234343,11.31942
9234666,111.748614
9234678,3.009379
9235567,10.077733
9236054,14.478782
9236250,91.846365
9236561,7.165437
9236858,1.882246
9236896,22.465349
9236913,2.384123
9237412,5.80514
9237618,50.145144
9237797,123.880734
9238624,18.535628
9238789,49.375009
9239472,46.86488
9239484,10.001066
9240457,7.013053
9240718,38.349755
9240897,5.39078
9241085,51.671822
9241205,67.530304
9241308,11.042466
9241607,8.623263
9242120,75.941457
9242699,41.606281
9243394,18.561182
9246279,128.301803
9247182,100.818704
9247364,111.917361
9247390,5.311706
9247560,8.329659
9247584,6.128731
9247936,78.314449
9248473,139.102119
9248497,6.00095
9248899,30.39169
9248930,8.553483
9249271,1.956115
9250701,37.938047
9250957,6.044538
9250983,11.373591
9251078,29.787644
9251535,71.847695
9251573,5.411168
9252204,6.034403
9252307,6.258926
9252967,11.898437
9253002,9.138335
9253090,11.026317
9254549,2.008833
9254678,37.423814
9254927,103.579456
9255000,31.065425
9255024,36.464028
9255751,8.605615
9255854,79.372293
9256389,100.891764
9257084,30.807897
9257137,4.949619
9258129,9.236558
9258179,44.129012
9258870,108.403533
9259379,16.140097
9259381,48.299452
9260017,66.444503
9260029,28.756423
9260304,17.400082
9260421,11.774521
9260823,103.738877
9260902,14.817434
9261009,22.477541
9261449,8.16203
9261815,11.660261
9261918,6.344297
9262766,54.164243
9262962,3.980302
9263057,19.916897
9263332,18.096139
9263344,7.597023
9263643,76.0419
9263708,7.110733
9264881,94.892951
9264893,101.950068
9265366,7.358224
9265926,55.95943
9266372,8.242751
9266853,7.960598
9266865,47.371024
9266944,3.506167
9267417,5.442922
9267699,5.805836
9267833,4.555145
9268423,6.576123
